,avg_acc_tag,name,data.datasets,data.exemplars.num_exemplars,data.exemplars.exemplar_selection,data.exemplars.num_exemplars_per_class,data.extra_aug,num_tasks,data.batch_size,data.nc_per_task,data.num_workers,data.stop_at_task,data.nc_first_task,data.ne_first_task,data.use_valid_only,data.use_test_as_val,data.max_classes_per_dataset,data.max_examples_per_class_trn,data.max_examples_per_class_tst,data.max_examples_per_class_val,misc.cm,misc.gpu,misc.log,seed,misc.tags,misc.exp_name,misc.save_models,misc.results_path,misc.last_layer_analysis,misc.cache_first_task_model,misc.no_cudnn_deterministic,network,model.pretrained,model.keep_existing_head,wandb.project_name,training.lr,training.vcreg.scale,training.vcreg.cov_weight,training.vcreg.reg_layers,training.vcreg.smooth_cov,training.vcreg.var_weight,training.vcreg.n_first_task,training.fix_bn,training.warmup.wu_lr,training.warmup.wu_wd,training.warmup.wu_fix_bn,training.warmup.wu_nepochs,training.warmup.wu_patience,training.warmup.wu_scheduler,training.nepochs,training.approach.name,training.approach.kwargs.all_outputs,training.clipping,training.optimizer.name,training.optimizer.kwargs.momentum,training.optimizer.kwargs.weight_decay,training.no_learning,training.eval_on_train,training.multi_softmax,training.early_stopping.lr_min,training.early_stopping.lr_factor,training.early_stopping.lr_patience,training.gridsearch_tasks,training.scheduler_milestones,training.select_best_model_by_val_loss,training.approach.kwargs.lamb,training.approach.kwargs.alpha,training.approach.kwargs.fi_num_samples,training.approach.kwargs.fi_sampling_type,training.approach.kwargs.T,training.approach.kwargs.mc,training.approach.kwargs.ta,training.approach.kwargs.tp,training.approach.kwargs.bnp,training.approach.kwargs.cka,training.approach.kwargs.ctt,training.approach.kwargs.cbnt,training.approach.kwargs.ta_lr,training.approach.kwargs.debug_loss,training.approach.kwargs.taskwise_kd,training.approach.kwargs.pretraining_epochs,dataset,approach,is_regularized,is_big_task,project_name,T,device,epochs,prefix,shuffle,init_cls,increment,batch_size,init_epochs,memory_size,num_workers,overfit_data,results_path,stop_at_task,save_checkpoint,vcreg.cov_weight,vcreg.reg_layers,vcreg.var_weight,optimizer.lr,optimizer.name,optimizer.init_lr,optimizer.weight_decay,optimizer.init_lr_decay,optimizer.init_weight_decay,scheduler.gamma,scheduler.step_size,optimizer.kwargs.momentum,temp,lambda_fkd,lambda_proto
22,38.407,dry-lion-23,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
23,37.29849999999999,polar-fog-24,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cifar100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
24,55.532,blooming-plasma-25,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
25,43.8415,curious-fire-26,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
26,55.55800000000001,dauntless-plasma-27,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
27,55.688,serene-dust-28,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
28,42.876999999999995,misunderstood-resonance-29,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
29,45.73349999999999,zany-lion-30,,,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-seed-fetril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,True,False,pycil-01.28-seed-fetril,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,15.0,.*after_relu,5.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
0,49.392,dandy-planet-9,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},10.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
1,38.1445,solar-energy-11,,,,,,20,,,,,,,,,,,,,,,,0,,,,,,,,resnet34_skips,,,pycil-${now:%m.%d}-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenet100,fetril,False,False,pycil-01.27-new,5.0,['cuda:0'],50.0,train,True,${increment},5.0,128.0,200.0,0.0,16.0,,${hydra:sweep.dir}/${hydra:sweep.subdir},-1.0,True,0.0,.*after_relu,0.0,0.05,sgd,0.1,0.0005,0.1,0.0005,0.1,45.0,0.9,,,
